title;accredited;habr member;rating;location;size;vacancies count;company url;parsing url;timestamp
Лаборатория Касперского;true;true;4.2;Москва;От 1000 до 5000 сотрудников;174;https://career.habr.com/companies/kaspersky;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.51175
Иннотех;true;false;4.02;Москва;Более 5000 сотрудников;157;https://career.habr.com/companies/innotech;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.5137488
МТС;true;true;4.36;Москва;Более 5000 сотрудников;139;https://career.habr.com/companies/mts;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.5147494
Сбер;false;true;3.97;Москва;Более 5000 сотрудников;130;https://career.habr.com/companies/sber;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.515749
Bell Integrator;true;false;4.59;Москва;От 1000 до 5000 сотрудников;119;https://career.habr.com/companies/bellintegrator;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.5167491
VK;true;true;4.52;Москва;Более 5000 сотрудников;111;https://career.habr.com/companies/vk;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.5177499
РТЛабс;true;true;4.02;Москва;От 1000 до 5000 сотрудников;98;https://career.habr.com/companies/rt-labs;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.5197653
Sportmaster Lab;true;true;4.4;Москва;От 1000 до 5000 сотрудников;91;https://career.habr.com/companies/sportmaster-lab;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.5207522
Совкомбанк Технологии;true;true;4.5;;Более 5000 сотрудников;86;https://career.habr.com/companies/scbt;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.5217517
Банк ПСБ;false;true;3.6;Москва;Более 5000 сотрудников;82;https://career.habr.com/companies/psb;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.5227514
TINKOFF;false;true;4.36;Москва;Более 5000 сотрудников;61;https://career.habr.com/companies/tinkoff;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.5237514
Магнит;false;true;3.8;Краснодар;Более 5000 сотрудников;60;https://career.habr.com/companies/magnit;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.5247519
Газпромбанк;false;false;4.19;Москва;Более 5000 сотрудников;55;https://career.habr.com/companies/gazprombank;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.5257515
SberTech;true;true;3.76;Москва;Более 5000 сотрудников;55;https://career.habr.com/companies/sbertech;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.5267682
ЛАНИТ;true;true;4.72;Москва;Более 5000 сотрудников;53;https://career.habr.com/companies/lanit;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.5277511
Ростелеком;false;true;3.24;Москва;Более 5000 сотрудников;37;https://career.habr.com/companies/rostelecom;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.5277511
beeline;true;true;4.3;Москва;Более 5000 сотрудников;29;https://career.habr.com/companies/beeline;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.5287529
Банк ВТБ;false;true;3.37;Москва;Более 5000 сотрудников;28;https://career.habr.com/companies/vtb;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.5287529
ДОМ.РФ;false;true;4.52;Москва;От 1000 до 5000 сотрудников;27;https://career.habr.com/companies/domrf;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.5287529
Aston (ex. Andersen);true;false;4.68;Санкт-Петербург;От 1000 до 5000 сотрудников;27;https://career.habr.com/companies/aston;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.5287529
Яндекс;false;true;4.19;Москва;Более 5000 сотрудников;19;https://career.habr.com/companies/yandex;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.5287529
Сибур;true;true;4.09;Москва;Более 5000 сотрудников;17;https://career.habr.com/companies/sibur;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.5297534
АО «ГНИВЦ»;false;true;4.8;Москва;От 1000 до 5000 сотрудников;15;https://career.habr.com/companies/gnivc;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.5297534
АльфаСтрахование;false;true;3.27;Москва;От 1000 до 5000 сотрудников;16;https://career.habr.com/companies/alfastrah;https://career.habr.com/companies?skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:35.5297534
